,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
-112.0833,57.0333
-124.1167,51.45
-117.1167,45.9333
-122.45,38.45
-1.7833,55.6667
-122.35,39.35
112.95,34.4833
106.9833,47.8
114.5833,3.3167
143.15,-4.1
29.4167,-23.4
87.8667,27.9833
116.55,6.0667
23.3833,42.1167
67.8,34.8167
-72.7,10.8667
135.7667,33.8333
37.5167,13.3667
21.7333,-18.75
-74.55,-8.4333
119.2,-22.9
23.9333,38.1667
-156.1667,20.7
-122.4333,41.9333
80.4833,6.8
-115.0667,34.2667
-1.4667,6.8
-131.8,52.8333
-6.5667,53.5667
35.3333,7.6333
-8.55,42.85
-130.9167,58.0333
44.4667,-24.6
-119.9333,39.0333
107.9,53.4
-116.5833,40.15
-66.75,18.2833
-15.9667,11.2167
-154.9833,19.4167
-52.9667,-10.15
-112.3833,28.9833
-126.7667,57.0333
24.3167,40.1333
-132.3833,-12.9167
138.8,-35.5
137.0333,-4.1167
116.7333,-20.6167
86.9,48.6667
34.05,28.6667
-71.2167,-13.7833
39.8167,21.4167
147.4333,-33.65
136.3,-16
175.6333,-39.0167
-122.4167,40.7167
-156.5833,20.55
-78.8333,-6.4667
101.9333,24.3833
-110.7833,39.6833
-1.8167,51.1667
-83.6,32.8333
-116.45,36.95
26.7167,69.8833
-95.2333,38.9167
39.65,-3.8667
-121.8333,47.5333
76.65,10.3667
-89.6167,17.2167
1.4833,48.4333
81.6167,31.45
116.9667,72.55
138.7167,35.35
37.3167,-0.15
-109.8667,32.7
-108.95,34.9
35.2,31.7833
83.0167,25.2667
-88.8,45.2333
-82.4167,40.0333
-155.4667,19.8167
-77.0833,37.7667
-72.5,-13.15
131.0167,-25.3333
-101.35,47.5333
-105.3833,36.5333
-107.9167,44.8167
-123.9667,41.8333
-96.3167,44
-115.5333,32.7667
-104.6833,44.5833
-121.5833,41.5833
-108.6667,45.1667
-112.5667,48.4667
-143.6833,69.55
-110.0333,34.7833
-111.5,34.8667
-111.4833,36.9333
-106.7,35.1333
-103.7,44.4
-110.2167,36.0833
